24.04.2023 20:04:01 [START]     : 
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:239200fe-1350-4733-81a4-2f480fb88830. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:0eebd46b-2cb1-4fa7-999e-776ceca47185. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:520f81c0-d800-4024-9772-c03cb9bbff1b. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:bb12f6b6-4332-4f8a-9dbb-0d2b6b0ac38c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d82caa8c-fa32-488c-8f32-4f6ac180199c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:f5f889cb-a11d-4905-b4e0-7b0a36e482d6. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:ef3eb5dd-07c3-4b4b-b184-d8340c8aaa40. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:ea4a0da0-f142-41b1-a6c2-229c6fd9dbd3. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:5531071b-5336-403a-b4a1-542099f1cbc2. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:01d494e3-85fd-4ab4-b4b5-70a73eaa11d2. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:eb2f2836-e805-45e0-8721-7ef6cebe264b. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d5f2caf9-074f-4fa4-acca-01e2c5d80bc7. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:4176c174-73b8-49f7-a07e-486feb805117. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:e0feaf5a-fd85-484e-9679-6d91655ef80f. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:36a855d1-acf7-4861-ab92-30b40edd1d75. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:aeb7b8d6-181f-4fea-a9c8-52f76312dfc8. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:769be76a-d66d-4cd4-9b9a-37144c19326e. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:91f7de5a-0576-4da2-9315-b5e5e75e8284. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:c0f81481-4339-4cac-b213-5a37705e51b1. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:34ce2d6a-e17e-4a3d-8522-ff62035c34a1. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:a7098648-1cea-4ff9-aac6-c62c5336327c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:ad476eaa-2527-4b5e-aceb-fbf5cc89641b. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:fe290728-0915-4461-8163-fef0bece9d17. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d0f10d89-7bea-482d-a90e-19b02f859505. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:18e099bb-ff84-4806-a16d-674d1df64727. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:5eb358a1-265c-4fe6-83e7-57a8eb9d10ea. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:896aedad-0ee8-43fb-b31b-8c1beb3c59cb. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:c302b8cc-0778-4daa-82a1-0c996552ab7f. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:cede2564-3885-4125-acb2-e56e25d37310. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:6b6c45cc-b682-42d5-aed4-53d930ea2247. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:b671e9b4-67d5-4bbb-99f3-46ee60c6b4e1. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:a91427cc-72a9-46e4-96dd-735edb81a822. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:16b61378-b449-45d9-9df8-6faf33d07c49. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d829c6a6-4f97-4e35-99a9-39e06091b192. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:fa2b644d-df8b-4d2f-af15-2825b79a27bb. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:34b30a4e-23e8-408c-932d-04ac9dbf2014. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:e51a4306-6e9a-4e19-8743-93299270a228. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:5dfaccf9-7450-4232-a188-38fe79f4eeb3. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d5330a41-8fa6-4e14-bce1-4498f5449d78. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:0bb3222f-b50d-419e-8e88-e2bc391c6ff2. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:df88365d-e1e5-4c89-89eb-cd279f7bfa8c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9798c31c-f81e-4bd3-bc7d-1582500f5059. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:3cb57ec9-eae8-40d7-8de3-fd33800ebdce. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:ceba07df-c06f-4d7b-b6df-ff3b7787382f. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9189cb07-b77b-400e-ab20-d981b6a0ef6e. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:3be6fc70-158d-47a8-92e9-b38276dce081. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:588c3bc9-c62d-4470-9f9e-f8df7d9c7ab2. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:1e2a1dfb-3bff-4510-9e92-71a2f93222e4. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9bb7bc48-b25e-4f33-a537-1cd4eca7a76c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:0caf14e3-ed5d-4883-b902-7fac206603db. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:6011454b-ada7-4e07-8781-61775c61cbb3. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:0d2f4e21-1505-48f9-a711-fc478d6772fa. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:3eb608bc-3b7d-4b5c-96ce-6902aaef5309. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d63d6d16-a5b9-4917-84ec-84cd42e11302. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:da9f14c2-f535-4aa2-b69e-61bfc7f7d259. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:39eda6ac-23fb-4c21-bab6-4f1c09e6b57f. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:dfef464f-fe3f-47b9-a385-fe70308228a4. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:f9bfbb2e-d317-48f4-bd65-fb2afae43a29. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:8e9a8eb5-49d7-4722-b3d9-5f87d8cf7141. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:dd9c75a5-6b41-4274-9b5b-179c69e17fa3. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:1c87b4fa-f31f-4916-9a64-2fe3db1f1310. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:699eb951-1a38-4ae1-86d0-ed536d058521. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:e5ca8e97-3b66-4682-b51a-1b38a19266e9. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:6652bd59-ed68-4d81-8c31-0d593e2bfdb2. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:a834f5fc-1b3d-461c-bbb2-5a62005f79e4. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:c7a7aad7-c5e6-4794-a1d9-eae956972457. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:3733b73c-c886-467d-823d-a9b4ab9e6345. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:884debb4-e6cf-4891-b80e-8023f94044b8. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:8390fc0c-9785-4777-973c-1c5340cdbfea. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:b9da8a3a-8a24-4be0-8acd-197fabab6915. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:2c768ccb-ca56-405a-b35e-af3b3c3b83ec. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:b168947c-39e9-4b1d-8771-aaa94e130aff. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:33bd5b36-ccb9-4d42-bb5c-0bef4bee7fba. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:ef517ec5-5569-45a3-8e6a-155ff301ef84. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:a2f57ed9-f921-4671-970e-0810e17345c8. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9bd5bd14-6491-47fb-815d-351d79fdc3fa. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9dadb813-4628-4218-a1aa-20ef2589b9a7. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:c3b8e9c6-7dd7-4107-bd93-2ad5472de43e. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:b819e459-3508-4c09-98fa-d9e6df356f8c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:b6f18ae9-3cc1-45fd-8795-8ed348deb7f9. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:1cd52a67-a187-4619-a00d-2760e2988b92. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:06642a37-3228-48c4-b521-6441c2f0b59c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:139ee0bd-20d7-4ec2-b2be-a8eecbf0669c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:4a0877c3-2932-4840-812e-8586e2c88b67. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:91152acd-9c78-4848-85c8-15f16e828813. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:60dcd069-0aa9-45dd-a17f-14326ab2a3c5. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:6f570963-db16-431c-ac08-699144106637. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:d1534e2b-5b7f-4d70-84e6-e33c36b7a9e7. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:9a7ffd8a-4e1c-454c-86c5-ef66f1580aed. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:5bc07e77-9d21-47b8-8e10-d457d96e2c4a. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:3ac23cb6-8c55-46c7-97bd-b345f231f115. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:00e47c57-e58b-40e5-9410-5f08d7edf177. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:656722ad-05bc-4fb5-a8aa-94bf53adc98c. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:0725ea73-f892-432b-b056-9b123ffce929. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:5a6cdd65-10e9-40e2-b925-4db742ec6ff6. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:76db6444-e3f7-4574-a283-40eb3d77e0d8. OK
24.04.2023 20:04:06 [DATA]      : Flight: ADD. ID:c09d0d36-3a05-45b7-ad4f-b02d33dd3661. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:5042afee-8431-46c3-a109-196ddc80c31f. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:107d4ff4-71de-49c8-a21f-cc6a2210ab05. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:5190a186-09b9-4c9d-8154-6b2c1efc8fd3. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:ee8ced9a-fb3c-40b0-aa90-b3497d89f690. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:6895df55-9740-45ed-8bb6-aff0f9a35588. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:27557419-447a-4dbf-ab0a-9c3192d94fd9. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:c5726fe4-a15b-4e07-b9bb-857a507d9a0b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:46c804b6-1958-41e5-bd6c-ef664ef26460. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:0dc6ca5a-405a-4398-8437-0346609d2d79. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:3ccb7f6d-fabc-41a9-9178-2c17e0326380. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:91c1fc4f-9067-43b5-ab71-21f10e4df31b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a3f28b1a-ab27-4614-922a-863996922d9e. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:70d396ab-18bd-4e0a-95e2-e40f613f0d56. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f3f0a9b0-1eef-474e-af4b-1abe0321309c. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:3ddf7630-ae9f-494d-862c-b5cba3edaac1. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e14ac9cc-adaa-47fe-bfdb-70657ab0bf86. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:271e2aef-af34-4494-aed0-30000aa15a85. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:5dd441a8-ebb9-42e2-b14b-21b092ed6779. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:50dd506b-b5ec-4292-add3-bdb0747f321f. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f5fe3b04-d1be-4d67-b0c0-158ba590d147. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:963f21a8-eeb4-404a-92e5-9b5208fad41b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:60712a53-e954-471a-84d8-7ef052f60730. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:8e84a43c-bda5-4cec-8997-3f4de292e8f7. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:fbd07465-9ae1-4ce9-b322-b27d413beb50. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:b679f07a-ded3-4ac1-a4fe-2f65610ce45f. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:0396725d-42ad-4f24-bb33-97e8fa1b06cf. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:15fb14b7-92e1-4d61-a7ba-f9d067b74eba. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:117a920c-5fee-41e5-b6ce-8cf532f290ed. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:09943346-6251-4cc0-aa7a-0408fe91ecd3. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d4cc7aab-9599-4baf-9c9d-77db00e5a735. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:0733f596-1d0d-421e-9ae1-02d667375c14. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:01be4ace-bc89-4bce-9b61-114a4e7e1847. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:88d2b551-533f-4882-93ac-80bc4745a31f. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a3326ca2-8ee3-4fae-b2cf-9055cc780dd5. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:57e4f5ae-1931-4da9-aa86-c74e2bc54e13. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:343d89e2-bd4a-4923-b359-72547d9f7ed5. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:73e5521a-623b-464e-8f8c-6751d9d8181b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:543e440a-7770-4f94-b082-a6cc8682ee93. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:61c5519b-a719-4df0-85a8-329f9554715e. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:40b7ab7d-f1fb-4116-97bf-4b4f3a06b55a. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:fdca3323-b52d-4d39-8e8f-a6791d0147a3. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:16b99b1c-e95f-4d70-a103-922591a67865. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:19eaa31a-ecb7-44ed-937b-de2ecb7c9b03. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:49660692-70fe-4840-a235-cfded9affe49. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:4f722fd4-649f-4b6d-b883-6c019bedddc0. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d6ec8073-e6b1-480c-8bc8-3d47ca3423fd. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:c3612daa-83fa-439e-bd8b-0d0acab50fbb. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a814b4d3-f829-4202-b120-0b37f8624d09. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:1d4c933a-0f06-4067-9a6b-5b82780dfb59. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:147a91aa-4189-40a5-bca5-f5f58d1e17b4. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f293fdcb-4369-4585-a316-0b4e173bae60. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:144f30f3-1771-43b2-a532-a29354e84345. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:944a9e77-1e2b-4120-bf9e-2a875b9e5c29. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:519e96cb-c737-4719-9cd9-d8a60d4c7775. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e1c9d80c-49e5-4d35-a01c-2e38cc7cdcbf. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:aa684d86-e89f-448a-a58b-d9217760c2ef. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:184a0d3e-5260-429d-81cd-c6b266367ea2. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:db6f74b9-cceb-40fb-94a8-f9f544276682. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:275eb408-02e9-46c8-8308-75e0c7a04c83. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:9c3d240e-feef-4b59-a0e4-0bc3a4243e54. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:a92d0509-19c9-4e60-8629-1903becd4bc2. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:18260b66-52b3-49d0-9790-757c01f802c4. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e7b1c2c0-363a-41f0-b632-820c41924b15. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:6c44da98-0446-4e1c-8aeb-77a0b2dbaa70. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:37021260-cdf2-441a-be1b-40ae5b620e79. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:51df537b-6029-4601-a58e-eb76dbd0d5db. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:79d5dfc5-15be-4b0e-a254-aec7bb4a93db. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:e6e71f93-e687-42eb-93d6-6ca1ea0424df. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:ad0b3707-2bab-47c0-b1d1-b5742edaadcf. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:aa8e4be9-98c8-4e18-b5a0-2bdd53dda119. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:374bef71-5c3c-47fb-8108-31dad040caaa. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:8b532462-e82b-4553-9a52-28746e44b4a9. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:807980a6-dd3a-488c-b29a-dcecf8ccaf28. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:7619aae9-e30f-4c4b-b6bf-bfd14a0e4ccd. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d55bbc0a-1ec4-463a-92a1-33547a25c5d5. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:ec9f0605-c555-4611-9283-9895776cd8eb. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f357b1ad-fc82-4de5-b554-91f2ae395157. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:81aaca30-4bd0-4268-a050-d5c3ec3ac9e0. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:4d78fbff-5af2-481e-b945-46ad54acfe3b. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:b9988302-ffc2-4a24-b689-b9e5d2dd67f4. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:d1b2c95d-e1cb-4513-96f0-70b5ff978555. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:195cca9b-ad6d-45a7-9648-07daac11efac. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:f03d1fb0-3f8a-47b6-8fe0-5f6bbfe627d3. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:21ba707a-8b1f-436e-8832-7cc564b7877c. OK
24.04.2023 20:04:07 [DATA]      : Flight: ADD. ID:b3211b8e-549c-47d3-8a2e-334139eb33af. OK
